,cylinders,displacement,horsepower,weight,acceleration,output_mpg
0,8,307.0,130.0,3504,12.0,17.017999999999997
1,8,350.0,165.0,3693,11.5,15.1515
2,8,318.0,150.0,3436,11.0,16.99
3,8,304.0,150.0,3433,12.0,16.235142857142854
4,8,302.0,140.0,3449,10.5,17.064
5,8,429.0,198.0,4341,10.0,14.204
6,8,454.0,220.0,4354,9.0,14.026
7,8,440.0,215.0,4312,8.5,14.03
8,8,455.0,225.0,4425,10.0,13.455
9,8,390.0,190.0,3850,8.5,14.06
10,8,383.0,170.0,3563,10.0,15.226
11,8,340.0,160.0,3609,8.0,14.511
12,8,400.0,150.0,3761,9.5,14.825
13,8,455.0,225.0,3086,10.0,14.682
14,4,113.0,95.0,2372,15.0,24.694000000000003
15,6,198.0,95.0,2833,15.5,19.254000000000005
16,6,199.0,97.0,2774,15.5,18.865000000000002
17,6,200.0,85.0,2587,16.0,21.184
18,4,97.0,88.0,2130,14.5,27.225
19,4,97.0,46.0,1835,20.5,28.309
20,4,110.0,87.0,2672,17.5,26.028000000000006
21,4,107.0,90.0,2430,14.5,26.976
22,4,104.0,95.0,2375,17.5,24.857000000000003
23,4,121.0,113.0,2234,12.5,26.06499999999999
24,6,199.0,90.0,2648,15.0,20.62
25,8,360.0,215.0,4615,14.0,11.629000000000001
26,8,307.0,200.0,4376,15.0,11.198
27,8,318.0,210.0,4382,13.5,12.283
28,8,304.0,193.0,4732,18.5,9.895
29,4,97.0,88.0,2130,14.5,27.225
30,4,140.0,90.0,2264,15.5,25.316999999999993
31,4,113.0,95.0,2228,14.0,25.286000000000005
32,4,98.0,104.46938775510203,2046,19.0,24.989
33,6,232.0,100.0,2634,13.0,21.674000000000007
34,6,225.0,105.0,3439,15.5,16.82
35,6,250.0,100.0,3329,15.5,17.685
36,6,250.0,88.0,3302,15.5,18.726000000000003
37,6,232.0,100.0,3288,15.5,18.612000000000002
38,8,350.0,165.0,4209,12.0,14.154000000000002
39,8,400.0,175.0,4464,11.5,14.155
40,8,351.0,153.0,4154,13.5,14.225
41,8,318.0,150.0,4096,13.0,14.405
42,8,383.0,180.0,4955,11.5,12.79
43,8,400.0,170.0,4746,12.0,12.94
44,8,400.0,175.0,5140,12.0,12.66
45,6,258.0,110.0,2962,13.5,21.655
46,4,140.0,72.0,2408,19.0,24.930999999999997
47,6,250.0,100.0,3282,15.0,18.959
48,6,250.0,88.0,3139,14.5,18.594
49,4,122.0,86.0,2220,14.0,24.133000000000003
50,4,116.0,90.0,2123,14.0,26.902
51,4,79.0,70.0,2074,19.5,32.28400000000002
52,4,88.0,76.0,2065,14.5,30.513
53,4,71.0,65.0,1773,19.0,32.13
54,4,72.0,69.0,1613,18.0,34.449
55,4,97.0,60.0,1834,19.0,32.199999999999996
56,4,91.0,70.0,1955,20.5,33.118
57,4,113.0,95.0,2278,15.5,25.974999999999994
58,4,97.5,80.0,2126,17.0,26.837000000000003
59,4,97.0,54.0,2254,23.5,25.763
60,4,140.0,90.0,2408,19.5,21.778999999999996
61,4,122.0,86.0,2226,16.5,22.059
62,8,350.0,165.0,4274,12.0,13.681
63,8,400.0,175.0,4385,12.0,13.885
64,8,318.0,150.0,4135,13.5,14.89
65,8,351.0,153.0,4129,13.0,14.055
66,8,304.0,150.0,3672,11.5,15.868142857142857
67,8,429.0,208.0,4633,11.0,11.93
68,8,350.0,155.0,4502,13.5,12.98
69,8,350.0,160.0,4456,13.5,12.5
70,8,400.0,190.0,4422,12.5,13.43
71,3,70.0,97.0,2330,13.5,21.104000000000006
72,8,304.0,150.0,3892,12.5,15.536142857142858
73,8,307.0,130.0,4098,14.0,15.608000000000002
74,8,302.0,140.0,4294,16.0,13.927999999999999
75,8,318.0,150.0,4077,14.0,14.175
76,4,121.0,112.0,2933,14.5,21.642
77,4,121.0,76.0,2511,18.0,30.261999999999997
78,4,120.0,87.0,2979,19.5,22.581999999999994
79,4,96.0,69.0,2189,18.0,28.783000000000015
80,4,122.0,86.0,2395,16.0,23.389
81,4,97.0,92.0,2288,17.0,27.030000000000005
82,4,120.0,97.0,2506,14.5,24.883000000000003
83,4,98.0,80.0,2164,15.0,28.855
84,4,97.0,88.0,2100,16.5,27.421000000000003
85,8,350.0,175.0,4100,13.0,13.595
86,8,304.0,150.0,3672,11.5,15.868142857142857
87,8,350.0,145.0,3988,13.0,13.574000000000002
88,8,302.0,137.0,4042,14.5,14.646
89,8,318.0,150.0,3777,12.5,15.003000000000002
90,8,429.0,198.0,4952,11.5,11.85
91,8,400.0,150.0,4464,12.0,13.1
92,8,351.0,158.0,4363,13.0,13.455
93,8,318.0,150.0,4237,14.5,15.427
94,8,440.0,215.0,4735,11.0,11.78
95,8,455.0,225.0,4951,11.0,12.06
96,8,360.0,175.0,3821,11.0,13.57
97,6,225.0,105.0,3121,16.5,19.101999999999993
98,6,250.0,100.0,3278,18.0,16.472
99,6,232.0,100.0,2945,16.0,18.625000000000004
100,6,250.0,88.0,3021,16.5,19.082000000000004
101,6,198.0,95.0,2904,16.0,19.502000000000006
102,4,97.0,46.0,1950,21.0,27.969
103,8,400.0,150.0,4997,14.0,11.829
104,8,400.0,167.0,4906,12.5,12.33
105,8,360.0,170.0,4654,13.0,13.02
106,8,350.0,180.0,4499,12.5,12.525
107,6,232.0,100.0,2789,15.0,18.629
108,4,97.0,88.0,2279,19.0,22.573
109,4,140.0,72.0,2401,19.5,24.342
110,4,108.0,94.0,2379,16.5,23.633000000000003
111,3,70.0,90.0,2124,13.5,21.711
112,4,122.0,85.0,2310,18.5,21.695999999999998
113,6,155.0,107.0,2472,14.0,24.53200000000001
114,4,98.0,90.0,2265,15.5,26.662000000000003
115,8,350.0,145.0,4082,13.0,14.63
116,8,400.0,230.0,4278,9.5,14.17
117,4,68.0,49.0,1867,19.5,32.373999999999995
118,4,116.0,75.0,2158,15.5,27.03600000000001
119,4,114.0,91.0,2582,14.0,22.835
120,4,121.0,112.0,2868,15.5,20.351999999999997
121,8,318.0,150.0,3399,11.0,15.709000000000001
122,4,121.0,110.0,2660,14.0,24.247
123,6,156.0,122.0,2807,13.5,21.954
124,8,350.0,180.0,3664,11.0,14.7245
125,6,198.0,95.0,3102,16.5,19.83
126,6,200.0,104.46938775510203,2875,17.0,19.602000000000004
127,6,232.0,100.0,2901,16.0,19.135
128,6,250.0,100.0,3336,17.0,15.955
129,4,79.0,67.0,1950,19.0,31.661000000000005
130,4,122.0,80.0,2451,16.5,26.727000000000004
131,4,71.0,65.0,1836,21.0,31.815000000000005
132,4,140.0,75.0,2542,17.0,28.36400000000001
133,6,250.0,100.0,3781,17.0,16.326
134,6,258.0,110.0,3632,18.0,16.534
135,6,225.0,105.0,3613,16.5,18.267999999999994
136,8,302.0,140.0,4141,14.0,15.749
137,8,350.0,150.0,4699,14.5,12.889000000000001
138,8,318.0,150.0,4457,13.5,13.46
139,8,302.0,140.0,4638,16.0,13.77
140,8,304.0,150.0,4257,15.5,14.068
141,4,98.0,83.0,2219,16.5,26.919
